no,package,item,title,rows,cols,remote_base_url,remote_file_name,function_name,local_file_name,rst_files
0,datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2,http://dustintran.com/data/r/datasets/,AirPassengers.csv,air_passengers,air_passengers.csv,http://dustintran.com/data/r-doc/datasets/rst/AirPassengers.rst
1,datasets,BJsales,Sales Data with Leading Indicator,150,2,http://dustintran.com/data/r/datasets/,BJsales.csv,bj_sales,bj_sales.csv,http://dustintran.com/data/r-doc/datasets/rst/BJsales.rst
2,datasets,BOD,Biochemical Oxygen Demand,6,2,http://dustintran.com/data/r/datasets/,BOD.csv,bod,bod.csv,http://dustintran.com/data/r-doc/datasets/rst/BOD.rst
3,datasets,CO2,Carbon Dioxide Uptake in Grass Plants,237,2,http://dustintran.com/data/r/datasets/,CO2.csv,co2,co2.csv,http://dustintran.com/data/r-doc/datasets/rst/CO2.rst
4,datasets,Formaldehyde,Determination of Formaldehyde,6,2,http://dustintran.com/data/r/datasets/,Formaldehyde.csv,formaldehyde,formaldehyde.csv,http://dustintran.com/data/r-doc/datasets/rst/Formaldehyde.rst
5,datasets,HairEyeColor,Hair and Eye Color of Statistics Students,32,4,http://dustintran.com/data/r/datasets/,HairEyeColor.csv,hair_eye_color,hair_eye_color.csv,http://dustintran.com/data/r-doc/datasets/rst/HairEyeColor.rst
6,datasets,InsectSprays,Effectiveness of Insect Sprays,72,2,http://dustintran.com/data/r/datasets/,InsectSprays.csv,insect_sprays,insect_sprays.csv,http://dustintran.com/data/r-doc/datasets/rst/InsectSprays.rst
7,datasets,JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,84,2,http://dustintran.com/data/r/datasets/,JohnsonJohnson.csv,johnson_johnson,johnson_johnson.csv,http://dustintran.com/data/r-doc/datasets/rst/JohnsonJohnson.rst
8,datasets,LakeHuron,Level of Lake Huron 1875-1972,98,2,http://dustintran.com/data/r/datasets/,LakeHuron.csv,lake_huron,lake_huron.csv,http://dustintran.com/data/r-doc/datasets/rst/LakeHuron.rst
9,datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,50,5,http://dustintran.com/data/r/datasets/,LifeCycleSavings.csv,life_cycle_savings,life_cycle_savings.csv,http://dustintran.com/data/r-doc/datasets/rst/LifeCycleSavings.rst
10,datasets,Nile,Flow of the River Nile,100,2,http://dustintran.com/data/r/datasets/,Nile.csv,nile,nile.csv,http://dustintran.com/data/r-doc/datasets/rst/Nile.rst
11,datasets,OrchardSprays,Potency of Orchard Sprays,64,4,http://dustintran.com/data/r/datasets/,OrchardSprays.csv,orchard_sprays,orchard_sprays.csv,http://dustintran.com/data/r-doc/datasets/rst/OrchardSprays.rst
